id;nombre;tipo;elemento;region
1;fortunately;wonderfully;reduce even exp;geez
2;save unnecessarily solemn;parallel boohoo;so deeply as;when like meh
3;bubbly vengeful;bundle yum side;why;except aha
4;urn bah meh;pfft;distorted;gee yieldingly
5;worthy masterpiece;surround more p;lollop;er
6;provided barring boo;upliftingly nib;beckon gah;fooey district
7;ha crayon enthusiasticall;however;besides eurocen;pepperoni ascend branch
8;blissfully between before;carefully acqui;alert abound;save coaxingly
9;ecstatic;off woozy throu;tabletop;yahoo
10;fertilizer bottleful burd;exciting;duh now next;whoa nor individuate
